scenario,cores,tasks,total_limit,largest_prime,total_primes,wall_time
single_node,4,4,1600000,1599977,121123,0.09
single_node,8,8,6400000,6399971,438406,0.27
single_node,12,12,14400000,14399999,934437,0.78
single_node,16,16,25600000,25599991,1601045,0.89
single_node,20,20,40000000,39999983,2433650,1.65
single_node,24,24,57600000,57599959,3428073,2.84
single_node,28,28,78400000,78399989,4581506,2.83
single_node,32,32,102400000,102399989,5891789,3.12
two_nodes,4,4,1600000,1599977,121123,0.08
two_nodes,8,8,6400000,6399971,438406,0.26
two_nodes,12,12,14400000,14399999,934437,0.77
two_nodes,16,16,25600000,25599991,1601045,0.89
two_nodes,20,20,40000000,39999983,2433650,1.63
two_nodes,24,24,57600000,57599959,3428073,2.73
two_nodes,28,28,78400000,78399989,4581506,2.83
two_nodes,32,32,102400000,102399989,5891789,3.12
two_nodes,36,36,129600000,129599983,7356863,5.78
two_nodes,40,40,160000000,159999997,8974454,5.86
